#V1,#temp,#u10,#v10
2019-01-08 23:00:01,9.9455,13.6228626686934,-7.86516342890347
2019-01-09 00:00:01,10.0455,13.6228626686934,-7.86516342890347
2019-01-09 01:00:01,9.9455,11.5135161909603,-6.64733167217003
2019-01-09 02:00:01,10.2455,10.3709535155215,-5.98767280393942
2019-01-09 03:00:01,10.0455,9.31628027665487,-5.3787569255727
2019-01-09 04:00:01,9.6455,9.22839084008265,-5.3280139357088
2019-01-09 05:00:01,9.2455,8.61316478407714,-4.97281300666155
2019-01-09 06:00:01,9.1455,7.20693379892169,-4.16092516883926
2019-01-09 07:00:01,8.8455,7.11904436234947,-4.11018217897536
2019-01-09 08:00:01,8.4455,6.41592886977175,-3.70423826006422
2019-01-09 09:00:01,8.1455,5.80070281376624,-3.34903733101696
2019-01-09 10:00:01,8.1455,5.18547675776073,-2.99383640196971
2019-01-09 11:00:01,8.3455,4.39447182861079,-2.53714949319467
2019-01-09 12:00:01,8.6455,4.39447182861079,-2.53714949319467
2019-01-09 13:00:01,8.8455,4.65814013832743,-2.68937846278635
2019-01-09 14:00:01,8.6455,4.13080351889414,-2.38492052360299
2019-01-09 15:00:01,8.5455,3.95502464574971,-2.2834345438752
2019-01-09 16:00:01,8.4455,4.21869295546636,-2.43566351346688
2019-01-09 17:00:01,7.9455,4.48218443438118,-1.63138171860604
2019-01-09 18:00:01,7.6455,4.10072192932746,-1.49254072127787
2019-01-09 19:00:01,7.3455,3.9099906768006,-1.42312022261378
2019-01-09 20:00:01,6.9455,2.69849285076503,-0.475817096838779
2019-01-09 21:00:01,6.4455,3.26519637464816,-2.73982507368866
2019-01-09 22:00:01,6.8455,2.79873974969842,-2.34842149173314
2019-01-09 23:00:01,6.6455,3.77924577260528,-2.18194856414741
2019-01-10 00:00:01,6.6455,4.74602957489965,-2.74012145265024
2019-01-10 01:00:01,6.7455,2.98824084345534,-1.72526165537237
2019-01-10 02:00:01,6.8455,2.54879366059426,-1.47154670605291
2019-01-10 03:00:01,6.8455,2.54879366059426,-1.47154670605291
2019-01-10 04:00:01,6.7455,2.63668309716647,-1.5222896959168
2019-01-10 05:00:01,6.7455,2.54879366059426,-1.47154670605291
2019-01-10 06:00:01,6.9455,2.00267815153202,-0.728915235972913
2019-01-10 07:00:01,6.8455,2.28512535087761,-1.31931773646123
2019-01-10 08:00:01,6.9455,2.8124619703109,-1.62377567564459
2019-01-10 09:00:01,7.4455,2.54879366059426,-1.47154670605291
2019-01-10 10:00:01,7.8455,2.37301478744983,-1.37006072632512
2019-01-10 11:00:01,7.8455,1.17421074586657,-1.39936987484921
2019-01-10 12:00:01,8.2455,0.352457108769463,-1.99888359315928
2019-01-10 13:00:01,8.5455,-4.84709472904672e-16,-2.63863547292245
2019-01-10 14:00:01,8.6455,0.546308518592668,-3.09826956939689
2019-01-10 15:00:01,8.2455,-4.84709472904672e-16,-2.63863547292245
2019-01-10 16:00:01,7.4455,-1.76131611879986,-2.09905481227382
2019-01-10 17:00:01,6.8455,-2.72457253373869,-1.57303268578069
2019-01-10 18:00:01,7.0455,-2.8124619703109,-1.62377567564459
2019-01-10 19:00:01,7.5455,-2.87648252052338,-2.41365542205906
2019-01-10 20:00:01,8.2455,-2.64325420804851,-2.2179536310813
2019-01-10 21:00:01,8.4455,-2.28318756140722,-2.72099697887347
2019-01-10 22:00:01,8.7455,-2.02971959455573,-3.51557746288863
2019-01-10 23:00:01,8.7455,-2.43566351346688,-4.21869295546636
2019-01-11 00:00:01,9.0455,-2.68937846278635,-4.65814013832743
2019-01-11 01:00:01,9.2455,-2.74012145265024,-4.74602957489965
2019-01-11 02:00:01,9.8455,-1.56196121994196,-4.29145318185432
2019-01-11 03:00:01,11.1455,-1.31898947461766,-3.62389379801032
2019-01-11 04:00:01,11.1455,-9.69418945809343e-16,-5.27727094584491
2019-01-11 05:00:01,11.6455,1.03974847086992,-5.89670659981988
2019-01-11 06:00:01,11.7455,1.28646844700854,-7.29592511503138
2019-01-11 07:00:01,11.8455,1.28646844700854,-7.29592511503138
2019-01-11 08:00:01,11.8455,1.19835416981617,-6.79620421674156
2019-01-11 09:00:01,11.9455,1.16310845893923,-6.59631585742563
2019-01-11 10:00:01,12.0455,2.56855845057121,-7.05705634349378
2019-01-11 11:00:01,12.0455,2.67268919856734,-7.34315322228406
2019-01-11 12:00:01,12.2455,2.81153019589552,-7.72461572733778
2019-01-11 13:00:01,12.3455,1.35695986876243,-7.69570183366323
2019-01-11 14:00:01,12.1455,4.87132702693376,-8.43738591093271
2019-01-11 15:00:01,11.7455,5.27727094584491,-9.14050140351044
2019-01-11 16:00:01,11.7455,4.71909805734208,-8.17371760121607
2019-01-11 17:00:01,11.4455,4.16092516883925,-7.20693379892169
2019-01-11 18:00:01,11.4455,3.65349527020032,-6.32803943319954
2019-01-11 19:00:01,11.2455,4.63160905314036,-5.51973672857189
2019-01-11 20:00:01,11.6455,3.95795320938368,-6.85537605263283
2019-01-11 21:00:01,11.4455,4.21166815870315,-7.29482323549391
2019-01-11 22:00:01,11.4455,4.26241114856704,-7.38271267206613
2019-01-11 23:00:01,11.4455,4.21166815870315,-7.29482323549391
2019-01-12 00:00:01,11.7455,2.18674570791874,-6.00803445459605
2019-01-12 01:00:01,11.6455,1.1807313143777,-6.69626003708359
